id,language,code,error_message,error_category,error_type,concept,difficulty,expected_output,actual_output,explanation,suggested_fix,keywords
11,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The code uses a variable that has not been defined.,Check that the variable is defined before use.,"Syntax Error, Colons and block syntax"
12,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,Python cannot find the requested module.,Install or import an available module.,"Syntax Error, Python syntax rules"
13,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The condition produces an incorrect result for the intended logic.,Review the condition so it matches the intended requirement.,"Syntax Error, Colons and block syntax"
14,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Strings and quotation marks"
15,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Strings and quotation marks"
16,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python cannot find the requested module.,Install or import an available module.,"Syntax Error, Python syntax rules"
17,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Colons and block syntax"
18,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Strings and quotation marks"
19,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Strings and quotation marks"
20,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,Python cannot find the requested module.,Install or import an available module.,"Syntax Error, Parentheses and brackets"
21,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The statement inside the block is not indented.,Indent the statement inside the if block.,"Syntax Error, Strings and quotation marks"
22,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The statement inside the block is not indented.,Indent the statement inside the if block.,"Syntax Error, Python syntax rules"
23,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The requested index is outside the list range.,Use an index within the valid range of the list.,"Syntax Error, Python syntax rules"
24,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The requested index is outside the list range.,Use an index within the valid range of the list.,"Syntax Error, Colons and block syntax"
25,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Parentheses and brackets"
26,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Strings and quotation marks"
27,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The condition produces an incorrect result for the intended logic.,Review the condition so it matches the intended requirement.,"Syntax Error, Parentheses and brackets"
28,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Strings and quotation marks"
29,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The code uses a variable that has not been defined.,Check that the variable is defined before use.,"Syntax Error, Python syntax rules"
30,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python cannot find the requested module.,Install or import an available module.,"Syntax Error, Strings and quotation marks"
31,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python cannot find the requested module.,Install or import an available module.,"Syntax Error, Parentheses and brackets"
32,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Colons and block syntax"
33,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Python syntax rules"
34,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Colons and block syntax"
35,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The function call does not provide all required arguments.,Pass all required function arguments.,"Syntax Error, Strings and quotation marks"
36,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Colons and block syntax"
37,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Python syntax rules"
38,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Strings and quotation marks"
39,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The condition produces an incorrect result for the intended logic.,Review the condition so it matches the intended requirement.,"Syntax Error, Python syntax rules"
40,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Python syntax rules"
41,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The code uses a variable that has not been defined.,Check that the variable is defined before use.,"Syntax Error, Strings and quotation marks"
42,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Python syntax rules"
43,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Strings and quotation marks"
44,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Strings and quotation marks"
45,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The requested index is outside the list range.,Use an index within the valid range of the list.,"Syntax Error, Parentheses and brackets"
46,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Strings and quotation marks"
47,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The function call does not provide all required arguments.,Pass all required function arguments.,"Syntax Error, Colons and block syntax"
48,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The requested index is outside the list range.,Use an index within the valid range of the list.,"Syntax Error, Python syntax rules"
49,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The code uses a variable that has not been defined.,Check that the variable is defined before use.,"Syntax Error, Colons and block syntax"
50,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The condition produces an incorrect result for the intended logic.,Review the condition so it matches the intended requirement.,"Syntax Error, Strings and quotation marks"
51,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The code uses a variable that has not been defined.,Check that the variable is defined before use.,"Syntax Error, Python syntax rules"
52,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The statement inside the block is not indented.,Indent the statement inside the if block.,"Syntax Error, Python syntax rules"
53,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Strings and quotation marks"
54,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The condition produces an incorrect result for the intended logic.,Review the condition so it matches the intended requirement.,"Syntax Error, Strings and quotation marks"
55,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The function call does not provide all required arguments.,Pass all required function arguments.,"Syntax Error, Strings and quotation marks"
56,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Python syntax rules"
57,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,Python cannot find the requested module.,Install or import an available module.,"Syntax Error, Parentheses and brackets"
58,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Python syntax rules"
59,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Colons and block syntax"
60,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Strings and quotation marks"
61,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Parentheses and brackets"
62,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Strings and quotation marks"
63,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The code uses a variable that has not been defined.,Check that the variable is defined before use.,"Syntax Error, Python syntax rules"
64,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The requested index is outside the list range.,Use an index within the valid range of the list.,"Syntax Error, Python syntax rules"
65,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The function call does not provide all required arguments.,Pass all required function arguments.,"Syntax Error, Parentheses and brackets"
66,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Python syntax rules"
67,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Parentheses and brackets"
68,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Parentheses and brackets"
69,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Strings and quotation marks"
70,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The statement inside the block is not indented.,Indent the statement inside the if block.,"Syntax Error, Python syntax rules"
71,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Parentheses and brackets"
72,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Python syntax rules"
73,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The condition produces an incorrect result for the intended logic.,Review the condition so it matches the intended requirement.,"Syntax Error, Python syntax rules"
74,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,Python cannot find the requested module.,Install or import an available module.,"Syntax Error, Strings and quotation marks"
75,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The condition produces an incorrect result for the intended logic.,Review the condition so it matches the intended requirement.,"Syntax Error, Strings and quotation marks"
76,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,Python cannot find the requested module.,Install or import an available module.,"Syntax Error, Python syntax rules"
77,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Colons and block syntax"
78,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The requested index is outside the list range.,Use an index within the valid range of the list.,"Syntax Error, Colons and block syntax"
79,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Strings and quotation marks"
80,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The code uses a variable that has not been defined.,Check that the variable is defined before use.,"Syntax Error, Python syntax rules"
81,Python,"def add(a, b)
    return a+b",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Python syntax rules"
82,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Colons and block syntax"
83,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The statement inside the block is not indented.,Indent the statement inside the if block.,"Syntax Error, Strings and quotation marks"
84,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Parentheses and brackets"
85,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Python syntax rules"
86,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Python syntax rules"
87,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Python syntax rules"
88,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The condition produces an incorrect result for the intended logic.,Review the condition so it matches the intended requirement.,"Syntax Error, Colons and block syntax"
89,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The requested index is outside the list range.,Use an index within the valid range of the list.,"Syntax Error, Colons and block syntax"
90,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Parentheses and brackets"
91,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python block statements require a colon at the end.,Add a colon after the for statement.,"Syntax Error, Parentheses and brackets"
92,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Colons and block syntax"
93,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Parentheses and brackets"
94,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Python syntax rules"
95,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Strings and quotation marks"
96,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,Python cannot find the requested module.,Install or import an available module.,"Syntax Error, Strings and quotation marks"
97,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The statement inside the block is not indented.,Indent the statement inside the if block.,"Syntax Error, Colons and block syntax"
98,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The requested index is outside the list range.,Use an index within the valid range of the list.,"Syntax Error, Strings and quotation marks"
99,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The condition produces an incorrect result for the intended logic.,Review the condition so it matches the intended requirement.,"Syntax Error, Parentheses and brackets"
100,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Strings and quotation marks"
101,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The statement inside the block is not indented.,Indent the statement inside the if block.,"Syntax Error, Strings and quotation marks"
